AE light check: mean AE = 24 (min 24, max 24) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 42 (min 41, max 44) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 45 (min 45, max 46) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 47 (min 46, max 48) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 50 (min 38, max 57) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 58 (min 53, max 63) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 60 (min 48, max 66) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 62 (min 50, max 65) over 16 frames, threshold = 65, analog gain = 4, converged = no, gain railed = yes -> DARK (flash wanted)
AE light check: mean AE = 70 (min 70, max 71) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash)
AE light check: mean AE = 74 (min 74, max 74) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash)
AE light check: mean AE = 74 (min 74, max 74) over 16 frames, threshold = 65, analog gain = 4, converged = yes, gain railed = yes -> DARK (flash wanted) (changed)
AE light check: mean AE = 76 (min 74, max 78) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash)
AE light check: mean AE = 80 (min 80, max 81) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash) (changed)
AE light check: mean AE = 81 (min 81, max 82) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash)
AE light check: mean AE = 84 (min 80, max 88) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash)
AE light check: mean AE = 86 (min 86, max 86) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash)
AE light check: mean AE = 88 (min 88, max 88) over 16 frames, threshold = 65, analog gain = 0, converged = yes, gain railed = no -> BRIGHT (no flash)
