# fix205-verification-part2-blank-card
# Started 2026-09-04 19:00:58. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (given)
# nrf   = COM5 @ 115200 (given)
#
# Filtered: hex dumps, nRF <info>/<debug> chatter and the app's RAW_RX lines removed. Sweep driver: repro_A_fix.py, delays 520..600 ms.
[01:49.420] app   | TX Hex: 414920736c6f7473
[01:49.512] app   | Written AI slots to the device WILD-CNKW (19:02:46-716)
[01:49.512] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI slots
[01:49.908] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[01:49.908] himax | slot flash_offset 0x00100000
[01:49.908] himax | New MemDesp himax_sec_SB_image_process PASS
[01:49.908] himax | set_memory_s_ns
[01:49.908] himax | HX_DSP_FLAG 1
[01:49.908] himax | jump_addr=0x10000000
[01:49.908] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[01:49.908] himax | **** WW500 MD. (WW500_C02) Built: 16:45:52 Sep  4 2026 ****
[01:49.908] himax | Git branch: 'nogit' nogit-dirty
[01:49.908] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[01:49.908] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[01:49.908] himax | Camera: RP v3 (IMX708)
[01:49.908] himax | Enabling RP SENSOR_ENABLE
[01:49.908] himax | PCA9574 present at 0x20
[01:49.908] himax | DEBUG: ledFlashSelectLED(0)
[01:49.908] himax | Initialised LED Flash
[01:49.908] himax | HM0360 present at 0x24
[01:49.908] himax | Main camera present at 0x1a
[01:49.908] himax | Disabling RP SENSOR_ENABLE
[01:49.908] himax | ### Warm Boot ###
[01:49.908] himax | Woke at 2024:01:01 00:00:04 
[01:49.908] himax | BLE wake
[01:49.908] himax | Initialising FreeRTOS tasks
[01:49.908] himax | Created task 'CLI' Priority 4
[01:49.908] himax | Created task 'IFTask' Priority 3
[01:49.908] himax | Created task 'FAT' Priority 2
[01:49.908] himax | Created task 'IMAGE' Priority 1
[01:49.908] himax | FreeRTOS scheduler started.
[01:49.908] himax | Starting CLI Task
[01:49.908] himax | Enter 'help' to view a list of available commands.
[01:49.908] himax | cmd> Starting IFTask
[01:49.908] himax | I2C slave instance 0 configured at address 0x62
[01:49.908] himax | I2C buffers have 256 bytes, payload is 244
[01:49.908] himax | Starting FatFS Task
[01:49.908] nrf   | BLE in: Received   8 bytes 'AI slots'
[01:50.208] himax | Mounting FatFS on SD card OK
[01:50.208] himax | Directory '/MANIFEST' exists
[01:50.208] himax | SD card initialised. CWD is '0:/'
[01:50.208] himax | Loading configuration: CWD is '0:/MANIFEST'
[01:50.208] himax | 'CONFIG.TXT' found. (Next image #0), camera enabled. Flash brightness 5
[01:50.208] himax | Retaining existing images directory (0 <= 100) '/MEDIA/00000000/IMAGES.000'
[01:50.208] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[01:50.208] himax | FatFs setup took 247ms
[01:50.208] himax | Inactivity period set at 1000ms
[01:50.208] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[01:50.208] himax | Starting Image Task
[01:50.208] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[01:50.208] himax | Enabling RP SENSOR_ENABLE
[01:50.208] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[01:50.208] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[01:50.208] himax | mclk DIV3, xshutdown_pin=82
[01:50.208] himax | IMX708 Init by app (IMX708_common_setting)
[01:50.208] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[01:50.208] himax | Init IMX708 Default PDAF pixel correction gains 
[01:50.476] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[01:50.476] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[01:50.476] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[01:50.476] himax | Quad Bayer re-mosaic adjustments ON
[01:50.476] himax | IMX708 Init by app (IMX708_mirror_setting)
[01:50.476] himax | CWD is '0:/MANIFEST'
[01:50.476] himax | Error opening '0:/RPV3_EX.BIN': 4
[01:50.476] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[01:50.476] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[01:50.476] himax | MIPI TX CLK: 200M
[01:50.476] himax | t_input: 12943ns
[01:50.476] himax | t_output: 11520ns
[01:50.476] himax | t_preload: 185ns
[01:50.476] himax | MIPI RX FIFO FILL: 70
[01:50.476] himax | MIPI TX FIFO FILL: 0
[01:50.476] himax | RESET MIPI CSI RX/TX
[01:50.476] himax | sensor_type: 15
[01:50.476] himax | DEBUG: ledFlashBrightness(5%) [brbits = 0x0]
[01:50.476] himax | DEBUG: ledFlashSelectLED(0)
[01:50.476] himax | [LS] In ledFlashSetFlashModeFromOpParam with 0 Mode 0
[01:50.476] himax | DEBUG: ledFlashDisable()
[01:50.476] himax | Not initialising NN (project ID is 0)
[01:50.476] himax | No model found.
[01:50.476] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[01:50.476] himax | Image sensor and data path initialised for camera RP v3
[01:50.476] himax |   Camera system enabled.
[01:50.476] himax |   Neural network disabled.
[01:50.476] himax |   Flash LED(s) in use: 0
[01:50.476] himax |   Flash brightness: 5%
[01:50.476] himax |   Flash is currently not armed.
[01:50.476] himax |   Flash duration 100ms
[01:50.476] himax |   MD disabled.
[01:50.476] himax |   Timelapse disabled.
[01:50.476] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[01:50.476] himax | Assert inter-processor interrupt.
[01:50.476] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:05Z'
[01:50.476] himax | Negate inter-processor interrupt.
[01:50.476] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[01:50.476] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[01:50.476] himax | I2C transmission complete.
[01:50.476] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[01:50.476] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[01:50.476] himax | Received I2C message.
[01:50.476] himax | MKL62BA command received: 'selftest'
[01:50.476] himax | selfTest 0000
[01:50.476] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[01:50.476] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[01:50.476] himax | Assert inter-processor interrupt.
[01:50.476] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[01:50.476] himax | Negate inter-processor interrupt.
[01:50.476] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[01:50.476] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[01:50.476] himax | I2C transmission complete.
[01:50.476] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[01:50.476] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[01:50.476] himax | Received I2C message.
[01:50.476] himax | MKL62BA command received: 'slots'
[01:50.476] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[01:50.476] himax | Flash ID 0xEF initialised
[01:50.476] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[01:50.476] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[01:50.476] himax | Assert inter-processor interrupt.
[01:50.476] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[01:50.791] himax | Negate inter-processor interrupt.
[01:50.791] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[01:50.791] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[01:50.791] himax | I2C transmission complete.
[01:50.791] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[01:50.824] nrf   | BLE out: Sent   5 bytes: 'Wake'
[01:50.824] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
