# Finding B bench log, 4 September 2026, filtered by filter_B.py: hex dumps and the app's sync noise removed, nothing else
[03:12.981] himax | Camera: RP v3 (IMX708)
[03:12.981] himax | Enabling RP SENSOR_ENABLE
[03:12.981] nrf   | BLE in: Received  10 bytes 'AI getop 9'
[03:12.981] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[03:12.981] nrf   | <info> app: AI processor is in DPD. Waking it. (getop 9)
[03:13.219] app   | Written AI getop 9 to the device WILD-CNKW (09:11:35-140)
[03:13.219] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI getop 9
[03:13.297] himax | PCA9574 present at 0x20
[03:13.297] himax | DEBUG: ledFlashSelectLED(0)
[03:13.297] himax | Initialised LED Flash
[03:13.297] himax | HM0360 present at 0x24
[03:13.297] himax | Main camera present at 0x1a
[03:13.297] himax | Disabling RP SENSOR_ENABLE
[03:13.297] himax | ### Warm Boot ###
[03:13.297] himax | Woke at 2024:01:01 00:00:03 
[03:13.297] himax | BLE wake
[03:13.297] himax | Initialising FreeRTOS tasks
[03:13.297] himax | Created task 'CLI' Priority 4
[03:13.297] himax | Created task 'IFTask' Priority 3
[03:13.297] himax | Created task 'FAT' Priority 2
[03:13.297] himax | Created task 'IMAGE' Priority 1
[03:13.297] himax | FreeRTOS scheduler started.
[03:13.297] himax | Starting CLI Task
[03:13.297] himax | Enter 'help' to view a list of available commands.
[03:13.297] himax | cmd> Starting IFTask
[03:13.297] himax | I2C slave instance 0 configured at address 0x62
[03:13.297] himax | I2C buffers have 256 bytes, payload is 244
[03:13.297] himax | Starting FatFS Task
[03:13.297] himax | Mounting FatFS on SD card OK
[03:13.297] himax | Directory '/MANIFEST' exists
[03:13.297] himax | SD card initialised. CWD is '0:/'
[03:13.297] himax | Loading configuration: CWD is '0:/MANIFEST'
[03:13.297] himax | 'CONFIG.TXT' found. (Next image #27), camera enabled. Flash brightness 89
[03:13.297] himax | Retaining existing images directory (20 <= 100) '/MEDIA/00000000/IMAGES.000'
[03:13.297] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[03:13.297] himax | FatFs setup took 249ms
[03:13.297] himax | Inactivity period set at 1000ms
[03:13.297] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[03:13.297] himax | Starting Image Task
[03:13.297] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[03:13.297] himax | Enabling RP SENSOR_ENABLE
[03:13.297] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[03:13.297] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[03:13.297] himax | mclk DIV3, xshutdown_pin=82
[03:13.597] himax | IMX708 Init by app (IMX708_common_setting)
[03:13.597] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[03:13.597] himax | Init IMX708 Default PDAF pixel correction gains 
[03:13.597] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[03:13.597] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[03:13.597] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[03:13.597] himax | Quad Bayer re-mosaic adjustments ON
[03:13.597] himax | IMX708 Init by app (IMX708_mirror_setting)
[03:13.597] himax | CWD is '0:/MANIFEST'
[03:13.597] himax | Error opening '0:/RPV3_EX.BIN': 4
[03:13.597] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[03:13.597] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[03:13.597] himax | MIPI TX CLK: 200M
[03:13.597] himax | t_input: 12943ns
[03:13.597] himax | t_output: 11520ns
[03:13.597] himax | t_preload: 185ns
[03:13.597] himax | MIPI RX FIFO FILL: 70
[03:13.597] himax | MIPI TX FIFO FILL: 0
[03:13.597] himax | RESET MIPI CSI RX/TX
[03:13.597] himax | sensor_type: 15
[03:13.597] himax | DEBUG: ledFlashBrightness(89%) [brbits = 0xd]
[03:13.597] himax | DEBUG: ledFlashSelectLED(0)
[03:13.597] himax | [LS] In ledFlashSetFlashModeFromOpParam with 0 Mode 0
[03:13.597] himax | DEBUG: ledFlashDisable()
[03:13.597] himax | Not initialising NN (project ID is 0)
[03:13.597] himax | No model found.
[03:13.597] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[03:13.597] himax | Image sensor and data path initialised for camera RP v3
[03:13.597] himax |   Camera system enabled.
[03:13.597] himax |   Neural network disabled.
[03:13.597] himax |   Flash LED(s) in use: 0
[03:13.597] himax |   Flash brightness: 89%
[03:13.597] himax |   Light is currently LIGHT.
[03:13.597] himax |   Flash duration 100ms
[03:13.597] himax |   MD disabled.
[03:13.597] himax |   Timelapse disabled.
[03:13.597] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[03:13.597] himax | Assert inter-processor interrupt.
[03:13.597] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:04Z'
[03:13.597] himax | Negate inter-processor interrupt.
[03:13.597] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[03:13.597] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:13.597] himax | I2C transmission complete.
