# Finding C bench log, 4 September 2026, filtered by filter_C.py: hex dumps and the app's sync noise removed, nothing else
[00:52.573] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[00:52.889] nrf   | <info> app: NUS TX Ready
[00:55.026] nrf   | BLE in: Received  17 bytes 'AI capture 3 3000'
[00:55.026] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[00:55.026] nrf   | <info> app: AI processor is in DPD. Waking it. (capture 3 3000)
[00:55.026] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[00:55.026] himax | slot flash_offset 0x00100000
[00:55.026] himax | New MemDesp himax_sec_SB_image_process PASS
[00:55.026] himax | set_memory_s_ns
[00:55.026] himax | HX_DSP_FLAG 1
[00:55.292] app   | Written AI capture 3 3000 to the device WILD-CNKW (09:22:48-728)
[00:55.292] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI capture 3 3000
[00:55.340] himax | jump_addr=0x10000000
[00:55.340] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[00:55.340] himax | **** WW500 MD. (WW500_C02) Built: 13:32:59 Sep  3 2026 ****
[00:55.340] himax | Git branch: 'nogit' nogit-dirty
[00:55.340] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[00:55.340] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[00:55.340] himax | Camera: RP v3 (IMX708)
[00:55.340] himax | Enabling RP SENSOR_ENABLE
[00:55.340] himax | PCA9574 present at 0x20
[00:55.340] himax | DEBUG: ledFlashSelectLED(0)
[00:55.340] himax | Initialised LED Flash
[00:55.340] himax | HM0360 present at 0x24
[00:55.340] himax | Main camera present at 0x1a
[00:55.340] himax | Disabling RP SENSOR_ENABLE
[00:55.340] himax | ### Warm Boot ###
[00:55.340] himax | Woke at 2024:01:01 00:00:08 
[00:55.340] himax | BLE wake
[00:55.340] himax | Initialising FreeRTOS tasks
[00:55.340] himax | Created task 'CLI' Priority 4
[00:55.340] himax | Created task 'IFTask' Priority 3
[00:55.340] himax | Created task 'FAT' Priority 2
[00:55.340] himax | Created task 'IMAGE' Priority 1
[00:55.340] himax | FreeRTOS scheduler started.
[00:55.340] himax | Starting CLI Task
[00:55.340] himax | Enter 'help' to view a list of available commands.
[00:55.340] himax | cmd> Starting IFTask
[00:55.340] himax | I2C slave instance 0 configured at address 0x62
[00:55.340] himax | I2C buffers have 256 bytes, payload is 244
[00:55.340] himax | Starting FatFS Task
[00:55.642] himax | Mounting FatFS on SD card OK
[00:55.642] himax | Directory '/MANIFEST' exists
[00:55.642] himax | SD card initialised. CWD is '0:/'
[00:55.642] himax | Loading configuration: CWD is '0:/MANIFEST'
[00:55.642] himax | 'CONFIG.TXT' found. (Next image #27), camera enabled. Flash brightness 89
[00:55.642] himax | Retaining existing images directory (20 <= 100) '/MEDIA/00000000/IMAGES.000'
[00:55.642] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[00:55.642] himax | FatFs setup took 249ms
