# Finding H bench log, 3 September 2026, filtered by filter_H.py: hex dumps removed, per-packet chatter kept only around the key events
[03:43.337] nrf   | <info> app: AI state machine bumped with 'Wake' (Current state: SLEEP)
[03:43.337] nrf   | <info> app: BLE and AI time differ by 9068s - too much!
[03:43.337] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[03:43.337] nrf   | BLE out: Sent   5 bytes: 'Wake'
[03:43.337] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[03:43.337] nrf   | <info> app: AI state machine bumped with 'Send SelfTest' (Current state: WOKEN)
[03:43.337] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[03:43.337] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[03:43.337] nrf   | <info> app: I2C TX complete: 14 bytes.
            ... 2 per-packet lines ...
[03:43.337] nrf   | <info> app: AI state machine bumped with 'Selftest Rx' (Current state: SELFTEST)
[03:43.337] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[03:43.337] nrf   | <info> app: Can't send UTC
[03:43.337] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[03:43.337] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[03:43.337] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[03:43.337] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[03:43.337] nrf   | Sending 'txfile 59200BE0.JPG' to AI processor (4 ctrl bytes, 19 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[03:43.337] nrf   | <info> app: I2C TX complete: 25 bytes.
            ... 3 per-packet lines ...
[03:43.337] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: PROCESSING)
[03:43.337] nrf   | <info> app: AI processor replies: '26371 bytes in 59200BE0.JPG'
[03:43.337] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[03:43.337] nrf   | BLE out: Sent  28 bytes: '26371 bytes in 59200BE0.JPG'
            ... 10 per-packet lines ...
[03:43.632] himax | Negate inter-processor interrupt.
