# Finding I bench log, 4 September 2026, filtered by filter_I.py: hex dumps removed, per-packet chatter kept only around the key events of each transfer
[03:46.088] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: ver
[03:46.358] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: WW500-C02 V 00.30.48 21:58:30 Jul 21 2026
[03:46.485] nrf   | BLE in: Received   3 bytes 'ver'
[03:46.485] nrf   | BLE out: Sent  42 bytes: 'WW500-C02 V 00.30.48 21:58:30 Jul 21 2026'
[03:46.786] nrf   | <info> app: NUS TX Ready
[04:32.432] app   | [FileTransfer] ftx-1788467786317-lq58yg: LARGE.BIN 512000 bytes, 2125 packets, CRC=0x0300 [sliding-window(12)]
[04:32.437] app   | [FileTransfer] Pre-built 2125 packets
[04:32.437] app   | [BleTransport] Lock acquired by 'ftx-1788467786317-lq58yg'
[04:32.681] app   | [FileTransfer] Requested high connection priority
[04:32.681] app   | [BLE Heartbeat] UART heartbeat paused state changed to: true
[04:32.945] app   | [FileTransfer] FILE_START sent: LARGE.BIN (512000 bytes) [attempt 1]
[04:32.954] nrf   | BLE in: File Tx Packet type 7, 17 bytes
[04:32.954] nrf   | <info> app: AI state machine bumped with 'TxFile to AI' (Current state: SLEEP)
[04:32.954] nrf   | <info> app: AI processor is in DPD. Waking it. (File TX packet)
[04:32.954] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[04:32.954] himax | slot flash_offset 0x00100000
[04:32.954] himax | New MemDesp himax_sec_SB_image_process PASS
[04:32.954] himax | set_memory_s_ns
[04:32.954] himax | HX_DSP_FLAG 1
[04:32.954] himax | jump_addr=0x10000000
[04:32.954] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[04:32.954] himax | **** WW500 MD. (WW500_C02) Built: 13:32:59 Sep  3 2026 ****
[04:32.954] himax | Git branch: 'nogit' nogit-dirty
[04:32.954] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[04:32.954] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[04:32.954] himax | Camera: RP v3 (IMX708)
[04:32.954] himax | Enabling RP SENSOR_ENABLE
[04:32.954] himax | PCA9574 present at 0x20
[04:32.954] himax | DEBUG: ledFlashSelectLED(0)
[04:32.954] himax | Initialised LED Flash
[04:32.954] himax | HM0360 present at 0x24
[04:32.954] himax | Main camera present at 0x1a
[04:32.954] himax | Disabling RP SENSOR_ENABLE
[04:32.954] himax | ### Warm Boot ###
[04:32.954] himax | Woke at 2024:01:01 00:00:31 
[04:32.954] himax | BLE wake
[04:32.954] himax | Initialising FreeRTOS tasks
[04:32.954] himax | Created task 'CLI' Priority 4
[04:32.954] himax | Created task 'IFTask' Priority 3
[04:32.954] himax | Created task 'FAT' Priority 2
[04:32.954] himax | Created task 'IMAGE' Priority 1
