# nRF console: every 'Finished sending' line of 3 September 2026, from five bench logs. The line is logged as failed twice, then sent, each time. Times are MM:SS.mmm from each log's start; the log name gives the session.
capture_keepawake_01.log [04:18.883] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11818 bytes (50 packets)'
capture_keepawake_01.log [04:18.883] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11818 bytes (50 packets)'
capture_keepawake_01.log [04:19.199] nrf   | BLE out: Sent  42 bytes: 'Finished sending 11818 bytes (50 packets)'
capture_keepawake_01.log [04:37.002] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11762 bytes (49 packets)'
capture_keepawake_01.log [04:37.002] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11762 bytes (49 packets)'
capture_keepawake_01.log [04:37.002] nrf   | BLE out: Sent  42 bytes: 'Finished sending 11762 bytes (49 packets)'
capture_keepawake_03.log [27:54.794] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11326 bytes (47 packets)'
capture_keepawake_03.log [27:54.794] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11326 bytes (47 packets)'
capture_keepawake_03.log [27:54.794] nrf   | BLE out: Sent  42 bytes: 'Finished sending 11326 bytes (47 packets)'
capture_keepawake_03.log [28:34.128] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 13442 bytes (56 packets)'
capture_keepawake_03.log [28:34.128] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 13442 bytes (56 packets)'
capture_keepawake_03.log [28:34.128] nrf   | BLE out: Sent  42 bytes: 'Finished sending 13442 bytes (56 packets)'
capture_keepawake_03.log [36:53.441] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11170 bytes (47 packets)'
capture_keepawake_03.log [36:53.441] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11170 bytes (47 packets)'
capture_keepawake_03.log [36:53.441] nrf   | BLE out: Sent  42 bytes: 'Finished sending 11170 bytes (47 packets)'
capture_keepawake_03.log [37:10.653] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11226 bytes (47 packets)'
capture_keepawake_03.log [37:10.653] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11226 bytes (47 packets)'
capture_keepawake_03.log [37:10.958] nrf   | BLE out: Sent  42 bytes: 'Finished sending 11226 bytes (47 packets)'
capture_keepawake_04.log [04:00.159] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 10786 bytes (45 packets)'
capture_keepawake_04.log [04:00.159] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 10786 bytes (45 packets)'
capture_keepawake_04.log [04:00.459] nrf   | BLE out: Sent  42 bytes: 'Finished sending 10786 bytes (45 packets)'
capture_keepawake_04.log [04:25.842] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 10642 bytes (45 packets)'
capture_keepawake_04.log [04:25.842] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 10642 bytes (45 packets)'
capture_keepawake_04.log [04:26.155] nrf   | BLE out: Sent  42 bytes: 'Finished sending 10642 bytes (45 packets)'
